date,close
Jan-2011,9.1
Feb-2011,9.0
Mar-2011,9.0
Apr-2011,9.1
May-2011,9.0
June-2011,9.1
July-2011,9.0
Aug-2011,9.0
Sep-2011,9.0
Oct-2011,8.8
Nov-2011,8.6
Dec-2011,8.5
Jan-2012,8.3
Feb-2012,8.3
Mar-2012,8.2
Apr-2012,8.2
May-2012,8.2
June-2012,8.2
July-2012,8.2
Aug-2012,8.1
Sep-2012,7.8
Oct-2012,7.8
Nov-2012,7.7
Dec-2012,7.9
Jan-2013,8.0
Feb-2013,7.7
Mar-2013,7.5
Apr-2013,7.6
May-2013,7.5
June-2013,7.5
July-2013,7.3
Aug-2013,7.3
Sep-2013,7.2
Oct-2013,7.2
Nov-2013,6.9
Dec-2013,6.7
Jan-2014,6.6
Feb-2014,6.7
Mar-2014,6.7
Apr-2014,6.2
May-2014,6.3
June-2014,6.1
July-2014,6.2
Aug-2014,6.2
Sep-2014,5.9
Oct-2014,5.7
Nov-2014,5.8
Dec-2014,5.6
Jan-2015,5.7
Feb-2015,5.5
Mar-2015,5.4
Apr-2015,5.4
May-2015,5.5
June-2015,5.3
July-2015,5.2
Aug-2015,5.1
Sep-2015,5.0
Oct-2015,5.0
Nov-2015,5.0
Dec-2015,5.0
